Username,Black,Win,4,1,2018.02.11 - 10:41:10
Aleksey,White,Win,14,50,2018.02.12 - 11:46:08
Username3,Black,Win,48,16,2018.02.13 - 02:23:31
Username,Black,Win,4,1,2018.02.11 - 10:41:34
